team,nickname,abbreviation,league,stadium,stadium_address,area,capacity,manager,is_player_manager
Rapid Bucharest,,RPB,Others,Rapid,,,1500,,False
Spartak Moscow,,SPM,Others,Luzniki,,,96000,,False
Dinamo Moscow,,DNM,Others,Dinamo (DM),,,50000,,False
Rotor Volvograd,,RTV,Others,Central RV,,,30000,,False
Alania V'kavkaz,,ALA,Others,Alania St,,,30000,,False
CSKA Moscow,,CSM,Others,CSKA St,,,7000,,False
Tre Fiori,,TRE,Others,Fiorentino,,,2000,,False
Slovan Bratislava,,SLO,Others,Tehelne Pole,,,32000,,False
O. Ljubljana,,OLI,Others,Bezigrad,,,18000,,False
Gothenburg,,GOT,Others,Galim Ullevi,,,12000,,False
Malmo,,MAL,Others,Malmo St,,,30058,,False
Halmstads,,HAL,Others,Organsvall,,,19125,,False
Grasshoppers,,GRA,Others,Hardfurm,,,30000,,False
Sion,,SIO,Others,Tourbillon,,,19200,,False
Servette,,SER,Others,Charmilles,,,30000,,False
Galatasaray,,GAL,Others,Ali Sami Yen,,,40000,,False
Fenerbache,Yellow Canaries,FEN,Others,Fenerbache St,,,30000,,False
Besiktas,,BES,Others,Inonu,,,45000,,False
Dinamo Kiev,,DYN,Others,Republican,,,100000,,False
Karpaty Lviv,,KPY,Others,Ukraina,,,40000,,False
Saint-Brieuc,,SAI,French Division 2,Parc Fraud-Albert,31 rue Joseph-Le-Brix,,10400,,False
RS Belgrade,,RDB,Others,Rad,,,13000,,False
Par. Belgrade,,PNB,Others,Partisan St,,,50819,,False
Aberystwyth,,VAL,Others,Aberystwyth T,Park Avenue,Dyfed,5000,,False
Other,,OTH,Others,XX225,,,5000,,False
Kidderminster,,RJC,Others,XX226,,,9000,,False
Spare,,SPA,Others,XX227,,,8000,,False
EA All Stars,The FSM Crew,EAA,Others,Electronic Arts Vellodrome,Meadfield Road,Berkshire,90000,,False
